name,smiles,MW,LogP,HBD,HBA,Lipinski
CHEMBL273030,c1ccc2cc3c(NCCc4c[nH]cn4)nnc(NCCc4c[nH]cn4)c3cc2c1,398.47400000000016,3.538400000000001,4,6,True
CHEMBL272808,Clc1nnc(NCCc2c[nH]cn2)c2cc3ccccc3cc12,323.7870000000001,3.8141000000000016,2,4,True
CHEMBL272641,c1ccc2cc3c(NCCCn4ccnc4)nnc(NCCCn4ccnc4)c3cc2c1,426.5280000000002,4.180400000000002,2,8,True
CHEMBL405899,Clc1nnc(NCCCn2ccnc2)c2cc3ccccc3cc12,337.8140000000001,4.135100000000002,1,5,True
CHEMBL1672028,c1ccc2cc3c(Nc4cc[nH]n4)nnc(Nc4cc[nH]n4)c3cc2c1,342.36600000000004,3.7163999999999993,4,6,True
